Ronde,Ted-Jan BLOEMEN,Jorrit BERGSMA,Nicola TUMOLERO,LEE Seung-Hoon,Jordan BELCHOS,Sven KRAMER,Patrick BECKERT,Bart SWINGS,Moritz GEISREITER,Ryosuke TSUCHIYA,Havard BOKKO,Davide GHIOTTO
400,34.01,35.42,34.52,35.32,34.89,34.46,35.12,35.16,35.26,36.05,35.21,34.59
800,30.03,30.58,30.84,31.06,29.68,30.69,31.13,31.12,31.21,31.19,31.03,31.17
1200,30.15,30.80,30.96,31.33,30.00,30.41,31.09,30.98,31.71,31.53,31.51,31.18
1600,30.42,30.49,30.55,31.34,30.24,30.13,30.90,30.88,31.28,31.51,31.54,30.55
2000,30.22,30.63,31.04,31.06,30.19,30.17,31.03,31.21,30.83,31.73,31.44,30.52
2400,30.38,30.38,30.75,31.23,30.37,30.33,31.11,30.91,30.69,31.42,31.56,30.79
2800,30.23,30.56,30.74,31.17,30.32,30.40,31.15,30.98,31.17,31.49,31.55,30.62
3200,30.39,30.26,30.62,31.37,30.48,30.41,31.14,30.90,31.35,31.35,31.56,30.76
3600,30.33,30.51,30.59,31.29,30.65,30.26,31.16,30.88,31.31,31.55,31.61,31.36
4000,30.40,30.42,30.49,31.55,30.54,30.55,31.30,30.86,31.21,31.45,31.38,31.45
4400,30.36,30.50,30.55,31.13,30.46,30.67,31.17,30.82,31.09,31.61,31.50,31.49
4800,30.56,30.42,30.39,31.15,30.92,30.88,31.15,30.85,31.24,31.23,31.76,31.86
5200,30.35,30.31,30.61,31.21,31.01,30.71,31.19,30.84,31.36,31.48,31.68,31.98
5600,30.32,30.39,30.22,31.21,31.13,31.09,31.37,30.65,31.42,31.57,31.72,31.92
6000,30.24,30.51,30.54,30.99,31.39,31.20,31.44,30.65,31.33,31.45,31.63,31.90
6400,30.29,30.19,30.24,30.89,31.71,31.62,31.34,30.58,31.11,31.15,31.87,32.20
6800,30.40,30.08,30.44,30.38,31.78,31.58,31.29,30.69,31.16,31.12,31.80,32.54
7200,30.14,29.97,30.64,30.41,31.80,31.91,31.27,30.64,30.99,31.04,31.79,33.05
7600,30.21,29.97,31.02,30.22,32.18,32.00,31.17,30.83,31.23,31.06,31.91,33.97
8000,30.30,29.95,30.95,30.41,31.88,32.07,31.15,31.05,31.25,31.06,31.79,33.87
8400,30.35,29.96,31.32,30.27,31.72,32.20,31.16,31.24,31.73,31.30,32.39,33.74
8800,29.93,29.96,31.24,30.26,31.92,32.25,31.19,31.88,31.90,31.62,32.18,33.98
9200,29.86,29.99,31.50,30.23,31.87,32.26,30.93,32.51,31.72,31.67,32.16,33.36
9600,30.09,29.82,31.67,30.32,31.46,32.02,30.65,33.01,31.59,31.72,32.26,34.14
10000,29.81,29.91,31.89,29.74,30.92,30.75,30.34,33.41,31.21,31.96,32.64,34.10
