Ronde,Sven KRAMER,Ted-Jan BLOEMEN,Sverre Lunde PEDERSEN,Peter MICHAEL,LEE Seung-Hoon,Bart SWINGS,Jan BLOKHUIJSEN,Nicola TUMOLERO,Seitaro ICHINOHE,Patrick BECKERT,Alexis CONTIN,Moritz GEISREITER,Simen Spieler NILSEN,Nils VAN DER POEL,Bob DE VRIES,Ryosuke TSUCHIYA,Livio WENGER,Havard BOKKO,Davide GHIOTTO,Andrea GIOVANNINI,Emery LEHMAN,Adrian WIELGAT
200,18.82,18.56,18.71,18.81,18.92,18.68,18.40,18.61,19.00,19.41,19.06,18.70,18.44,19.45,19.40,19.25,18.88,19.31,19.54,18.78,18.93,19.24
600,28.98,28.56,28.98,28.53,29.31,29.07,28.37,29.41,29.11,28.74,29.02,29.04,29.33,29.75,29.27,29.72,29.99,29.58,28.92,29.96,30.19,30.26
1000,29.50,28.66,28.82,28.69,29.47,29.47,28.84,29.71,29.54,29.20,29.91,29.72,29.68,30.30,29.45,30.20,30.28,29.66,29.76,29.78,30.96,29.88
1400,29.12,29.14,29.31,29.23,29.78,29.63,29.23,29.37,29.63,29.55,29.95,29.76,29.89,30.00,29.62,30.15,30.04,29.60,30.09,29.78,30.60,30.16
1800,29.34,29.26,29.53,29.46,29.68,29.67,28.92,29.27,29.80,29.76,29.77,29.69,29.69,29.97,29.79,30.28,29.97,30.08,30.03,29.44,30.79,30.25
2200,29.34,29.30,29.21,29.86,30.06,29.77,29.54,29.60,29.62,30.05,29.76,29.62,30.06,30.13,29.82,30.17,29.81,29.84,30.35,29.84,31.07,30.57
2600,29.00,29.52,29.20,30.17,30.03,29.88,29.99,29.59,29.93,30.18,29.88,30.08,29.86,30.44,30.00,30.22,30.15,29.91,30.46,30.10,30.94,30.64
3000,29.32,29.71,29.26,30.15,30.12,29.83,30.15,29.70,29.74,30.38,29.92,30.08,30.15,30.32,30.20,30.17,30.29,30.13,30.90,30.57,30.88,30.79
3400,29.10,30.00,29.60,30.42,29.65,29.65,30.07,29.54,29.79,30.14,29.98,30.02,29.90,30.03,30.30,30.33,30.15,30.53,31.19,31.16,31.09,30.93
3800,29.07,29.90,29.46,30.22,29.63,29.74,30.42,29.89,29.70,30.12,29.99,29.96,30.20,30.09,30.54,30.14,29.79,30.61,31.65,31.93,31.27,31.31
4200,29.18,29.98,29.50,30.30,29.24,29.71,30.37,30.02,30.13,30.12,30.44,30.52,30.23,29.77,31.19,30.30,30.44,31.16,32.04,32.54,31.24,32.03
4600,29.52,29.58,29.71,29.71,29.08,29.60,30.44,30.17,30.19,30.04,29.89,30.48,30.37,29.67,31.07,30.48,31.34,31.60,32.22,33.11,31.61,32.64
5000,29.47,29.44,30.32,28.52,29.18,29.87,30.01,30.60,30.37,30.22,30.56,30.67,30.59,29.14,31.61,31.04,33.03,32.49,32.10,33.72,31.59,33.01
