Ronde,Esmee VISSER,Martina SABLIKOVA,Natalia VORONINA,Annouk VAN DER WEIJDEN,Ivanie BLONDIN,Isabelle WEIDEMANN,Maryna ZUYEVA,Claudia PECHSTEIN,Misaki OSHIGIRI,Jelena PEETERS,Carlijn SCHOUTENS,Nana TAKAGI
200,21.06,20.94,20.60,19.79,20.99,21.13,21.07,20.93,20.14,21.38,21.36,20.84
600,32.65,32.08,32.31,31.50,32.03,32.79,32.80,31.87,32.56,33.49,32.51,33.59
1000,32.77,32.54,32.07,32.09,32.42,33.63,32.99,32.46,32.95,33.71,33.65,33.81
1400,32.48,32.60,32.58,32.70,32.90,32.75,32.41,32.58,33.13,33.57,33.81,33.70
1800,32.37,32.61,32.87,32.98,32.61,32.94,32.91,32.92,32.94,33.88,34.09,33.60
2200,32.16,32.64,33.01,33.10,32.63,32.94,33.54,32.66,33.32,34.32,33.75,34.28
2600,32.22,32.91,32.73,32.90,32.47,32.81,33.48,32.98,33.48,34.13,34.03,34.37
3000,32.19,32.76,33.13,32.87,32.84,32.86,33.75,33.46,33.94,33.98,34.08,34.88
3400,32.15,32.73,32.70,32.92,32.92,33.35,34.07,34.03,34.33,34.17,34.36,35.04
3800,32.25,32.15,32.95,32.99,33.24,33.48,34.35,34.94,34.82,34.32,34.43,35.30
4200,32.23,32.42,32.75,33.11,33.73,33.73,34.27,35.31,35.13,34.18,35.11,35.78
4600,32.57,32.64,33.36,33.53,34.50,33.74,34.36,35.72,35.41,34.18,35.63,36.07
5000,33.13,32.83,32.92,33.69,36.10,33.73,34.41,35.57,35.56,34.95,36.47,36.19
